Panos Antsaklis
Peter Bauer
Gary Bernstein
William Berr
Jonathan Chisum
Daniel J. Costello, Jr.
Suman Datta
Robert Dunn
Patrick Fay
Thomas E. Fuja
Vijay Gupta
Martin Haenggi
Douglas Hall
Eugene Henry
Bertrand Hochwald
Anthony Hoffman
Scott Howard
Yih-Fang Huang
Thomas Kosel
J. Nicholas Laneman
Michael Lemmon
Craig Lent
Hai Lin
Lei Liu
Ruey-Wen Liu
Christine Maziar
Jim Merz
Alexander Mintairov
Alexei Orlov
Thomas O'Sullivan
Wolfgang Porod
Thomas Pratt
Sergei Rouvimov
Ken Sauer
Michael Schafer
Alan Seabaugh
Roxana Smarandache
Greg Snider
Robert Stevenson
Gregory Timp
John Uhran
Huili (Grace) Xing
