Mustaque Ahamad
Mostafa Ammar
Alexandra Boldyreva
Thomas Conte
Constantine Dovrolis
Hadi Esmaeilzadeh
Lance Fortnow
Merrick Furst
Zvi Galil
Ada Gavrilovska
Seymour Goodman
William Harris
Hyesoon Kim
Taesoo Kim
Wenke Lee
Richard Lipton
Ling Liu
Leo Mark
Milena Mihail
Shamkant Navathe
Edward Omiecinski
Alessandro Orso
Santosh Pande
Richard Peng
Milos Prvulovic
Calton Pu
Umakishore Ramachandran
Dana Randall
Prasad Tetali
Vijay Vazirani
Santosh Vempala
H. Venkateswaran
Eric Vigoda
Jun Xu
Ellen Zegura
