Alessandro Abate
Samson Abramsky
Jonathan Barrett
Michael Benedikt
Tim Berners-Lee
Richard Bird
Peter Bloodsworth
Phil Blunsom
Alexander Buckley
Alfonso Bueno-Orovio
Anisoara Calinescu
Stephen Cameron
Luca Cardelli
Alessandra Cavarra
Giulio Chiribella
Bob Coecke
Sadie Creese
Cas Cremers
Bernardo Cuenca Grau
Jim Davies
Edith Elkind
Zohar Etzioni
Ivan Flechais
Tim Furche
Yarin Gal
David Gavaghan
Jeremy Gibbons
Thomas Gibson-Robinson
Leslie Ann Goldberg
Paul Goldberg
Michael Goldsmith
Georg Gottlob
Julian Gutierrez
Christoph Haase
Tony Hoare
Philippa Hopcroft
Ian Horrocks
Peter Jeavons
Marina Jirotka
Geraint Jones
Mark Kaminski
Varun Kanade
David Kay
Andrew D. Ker
Evgeny Kharlamov
Stefan Kiefer
Egor V. Kostylev
Elias Koutsoupias
Daniel Kroening
Marta Kwiatkowska
Anthony W. Lin
Gavin Lowe
Thomas Lukasiewicz
Andrew Markham
Andrew Martin
Ursula Martin
Ivan Martinovic
Tom Melham
Peter Minary
Boris Motik
Andrzej Murawski
Hanno Nickau
Nadeschda Nikitina
Milos Nikolic
Dan Olteanu
Luke Ong
Joel Ouaknine
Dmitrii Pasechnik
Joe Pitt-Francis
Stephen Pulman
Kasper Rasmussen
Stephane Reissfelder
Blanca Rodriguez
Alex Rogers
Bill Roscoe
Emanuel Sallinger
Rahul Santhanam
Nigel Shadbolt
Seyyed M Shah
Andrew Simpson
Monika Solanki
Mike Spivey
Sam Staton
Bernard Sufrin
Andreas Tiemeyer
Niki Trigoni
james worrell
jonathan whiteley
michael wooldridge
jun zhao
irina voiculescu
helena webb
shimon whiteson
jamie vicary
max van kleek
standa zivny
