Aczel, Peter
Alqasab, Mariam 
Ananiadou, Sophia 
Arellanes molina, Damian
Attwood, Teresa 
Ball-Foster, Jennie
Banach, Richard
Barlow, Cassandra
Barringer, Howard 
Batista-Navarro, Riza Theresa
Bechhofer, Sean
Brass, Andrew 
Brown, Gavin 
Caine, Liz
Calland, Christopher
Carpenter, Andy
Chadderton, Marie
Cheetham, Barry
Chen, Ke
Clark, David
Clinch, Sarah
Cottam, Ian
Cunningham, Michael
Davison, Jean
Donald, Gavin
Dongarra, Jack 
Dresner, Daniel
Embury, Suzanne
Fernandes, Alvaro A A
Filer, Nick
Furber, Stephen 
Furmston, Timothy
Galata, Aphrodite
Garside, James
Goble, Carole 
Gough, Graham
Gurd, John 
Haines, Robert
Harper, Simon
Hart, Iain
Hartley, Timothy
Hill, Ernie
Hopkins, Kathryn
Howard, Toby
Howarth, Lynn
Hubbold, Roger 
Hull, Duncan
Hymas, Susannah
Jay, Caroline
Jones, Amy 
Keane, John 
Keeley, Michael
Kiani, Hashir
King, Ross 
Knowles, Joshua 
Koch, Dirk
Korovin, Konstantin
Kotselidis, Christos-efthymios
Latham, John
Lau, Kung-Kiu
Lester, David
Lester, Gillian
Lewis-Martyr, Sophia
Lloyd, Jez
Lujan, Mikel 
Maddocks, Ruth
Mcdonald, Tony
Mcnaught, John
Mendes, Pedro 
Middleton, Barry 
Mihajlovic, Milan
Miles, Jim 
Morris, Tim
Morrison, Norman
Moutafis, Christoforos
Mu, Tingting
Navaridas palma, Javier
Navarro Lopez, Eva
Nenadic, Aleksandra
Nenadic, Goran 
Nutter, Paul
O'connor, Richard
Parsia, Bijan
Paton, Norman 
Pavlidis, Vasilis
Pepper, Jeffrey
Pettifer, Stephen 
Plana Cabrera, Luis
Pop, Antoniu
Pratt-Hartmann, Ian
Price, Melanie
Puleston, Colin
Rak, Rafal
Ramsay, Allan 
Rawsthorne, Alasdair 
Rector, Alan 
Reger, Giles
Riley, Graham
Ringwood, Michelle 
Rydeheard, David
Sakellariou, Rizos
Sampaio, Sandra
Sattler, Uli 
Schalk, Andrea
Schmidt, Renate
Shand, Cameron
Shapiro, Jonathan
Soiland-Reyes, Stian
Somers, Harold 
Stevens, Robert 
Sufi, Shoaib Ahmed
Swainston, Neil
Tanoh, Franck
Taylor, Christopher
Taylor, Helen
Temple, Steven
Thompson, Paul
Thomson, Thomas 
Tishkovsky, Dmitry
Toms, William
Tsujii, Junichi 
Twining, Carole
Varty, Karen
Vigo, Markel
Warboys, Brian 
Ward, Richard
Watson, Ian 
Williams, Alan
Wolfenden, Susannah
Wood, Mary McGee
Woods, John
Zeng, Xiaojun
Zhang, Ning
Zhao, Liping
