Alt, Florian
Augustin, Thomas
Batt, Jürgen
Beyer, Dirk
Biagini, Francesca
Bley, Werner
Böhm, Christian
Bry, Francois
Buchholz, Wilfried
Butz, Andreas
Donder, Hans-Dieter
Dürr, Detlef
Fahrmeir, Ludwig
Forster, Otto
Frank, Rupert
Friedel, Caroline
Fries, Christian
Fritsch, Rudolf
Greven, Sonja
Hegering, Heinz-Gerd
Heun, Volker
Heydenreich, Markus
Hofmann, Martin
Hußmann, Heinrich
Kalf, Hubert
Kauermann, Göran
Kotschick, Dieter
Kranzlmüller, Dieter
Kraus, Günther
Kriegel, Hans-Peter
Kröger, Fred
Leeb, Bernhard
Linnhoff-Popien, Claudia
Merkl, Franz
Meyer-Brandis, Thilo
Mittnik, Stefan
Morel, Fabien
Müller, Peter
Ohlbach, Jürgen
Oppel, Ulrich
Osswald, Horst
Panagiotou, Konstantinos
Pareigis, Bodo
Perkkiö, Ari-Pekka
Phan, Thanh Nam
Pickl, Peter
Prieß, Sibylla
Richert, Walter
Rosenschon, Andreas
Rüger, Bernhard
Sachs, Albert
Schmid, Volker
Schneeweiß, Hans
Schneider, Hans-Jürgen
Schottenloher, Martin
Schuster, Hans Werner
Schwichtenberg, Helmut
Seidl, Thomas
Semenov, Nikita
Siedentop, Heinz
Sørensen, Thomas Østergaard
Steinlein, Heinrich
Tutz, Gerhard
Ufer, Stefan
Vogel, Thomas
Wirsing, Martin
Wolffhardt, Klaus
Zimmer, Ralf
Zimmermann, Wolfgang
Zöschinger, Helmut
