Albers, Peter
Andrzejak, Artur
Badreddin, Essameddin
Bastian, Peter
Böckle, Gebhard
Dahlhaus, Rainer
Fröning, Holger
Gertz, Michael
Heuveline, Vincent
Johannes, Jan
Kanschat, Guido
Knüpfer, Hans
Kostina, Ekaterina
Krömker, Susanne
Mammen, Enno
Merkle, Wolfgang
Oelschläger, Karl
Paech, Barbara
Pozzetti, Maria Beatrice
Rheinländer, Martin
Sadlo, Filip
Schnörr, Christoph
Venjakob, Otmar
Walcher, Johannes
Wienhard, Anna
Carraro, Thomas
Friedmann, Elfriede
Mara, Hubert
Reichelt, Thomas
Beiglböck, Wolf
End, Werner
Freitag, Eberhard
Gerhardt, Claus
Jäger, Willi
Krieger, Wolfgang
Leinert, Michael
Matzat, Bernd Heinrich
Rannacher, Rolf
Reuter, Andreas
Tomi, Friedrich
Waldenfels, Wilhelm Freiherr von
Ambos-Spies, Klaus
Banagl, Markus
Bock, Hans Georg
Brüning, Ulrich
Kasten, Hendrik
Kohnen, Winfried
Köthe, Ullrich
Marciniak-Czochra, Anna
Mombaur, Katja
Ommer, Björn
Petra, Stefania
Rohr, Karl
Schmidt, Alexander
Vogel, Denis
Weissauer, Rainer
Böge, Sigrid
Gloede, Klaus
Janko, Zvonimir
Müller, Dietrich Werner
Reinelt, Gerhard
Roquette, Peter
Wingberg, Kay
