Petra Berenbrink
Chris Biemann
Eva Bittner
Tilo Böhmann
Leonie Dreschler-Fischer
Hannes Federrath
Mathias Fischer
Simone Frintrop
Timo Gerkmann
Johannes Kirchmair
Maria Knobelsdorf
Winfried Lamersdorf
Thomas Ludwig
Walid Maalej
Wolfgang Menzel
Markus Nüttgens
Stephan Olbrich
Bernd Page
Matthias Rarey
Matthias Riebisch
Norbert Ritter
Ingrid Schirmer
Judith Simon
Frank Steinicke
H.-Siegfried Stiehl
Stefan Voß
Stefan Wermter
Bernd E. Wolfinger
Jianwei Zhang
Ingrid Schneider
Victor Uc Cetina
Paul Drews
Andreas Fleischer
Michael Köhler-Bußmeier
Wolfgang Renz
Arno Rolf
Rüdiger Valk
Steffi Beckhaus
Wilfried Brauer
Klaus Brunnstein
Klaus von der Heide
Hermann C. Flessner
Christiane Floyd
Christian Freksa
Günther Görz
Werner Grass
Rolf-Rainer Grigat
Christopher Habel
Walther von Hahn
Matthias Jantzen
Eike Jessen
Karl Kaiser
Manfred Kudlek
Ingbert Kupka
Klaus Lagemann
Ulrike von Luxburg
Bärbel Mertsching
Dietmar Möller
Hans-Helmut Nagel
Bernd Neumann
Rüdiger Nicolovius
Horst Oberquelle
Manfred Pinkal
Joachim Posegga
Bernd Radig
Peter Schefe
Joachim W. Schmidt
Frieder Schwenkel
Friedrich Vogt
Siegfried Wendt
Heinz Züllighoven
