Selim Akl
Dorothea Blostein
James Cordy
Robin Dawes
Juergen Dingel
Dave Dove
Qingling Duan
Joshua Dunfield
Randy Ellis
Gabor Fichtinger
Nick Graham
Ahmed Hassan
Hossam Hassanein
David Lamb
Margaret Lamb
Richard Linley
Pat Martin
Alan McLeod
Parvin Mousavi
Wendy Powley
David Rappaport
Kai Salomaa
David Skillicorn
James Stewart
Roel Vertegaal
Farhana Zulkernine
Mohammad Zulkernine
Bob Crawford
Janice Glasgow
Don Jardine
Mike Jenkins
Michael Levison
Glenn MacEwen
Bob Tennent
Gunnar Blohm
Thomas Dean
Michael Greenspan
Keyvan Hashtrudi-Zaad
Diane Kelly
Scott Knight
Susan Lederman
Greg Lessard
David Maslove
Joshua Mozersky
Jordan Poppenk
Damian Redfearn
John Rudan
Karen Rudie
Nancy Salay
Niko Troje
Louise Winn
Ying Zou
Manuela Kunz
Sharief Oteafy
Jim Rodger
Purang Abolmaesumi
Bram Adams
Manar Alalfi
Robert Benkoczi
Salimur Choudhury
Khalid Elgazzar
Wenying Feng
Neil Glossop
Scott Grant
Carl Gutwin
Javad Hashemi
Mohamed Hefny
Zhen Ming (Jack) Jiang
Igor Jurisica
Manuela Kunz
Burton Ma
Marius Nagy
Nidal Nasser
Sharief Oteafy
Ernesto Posse
Kamran Sartipi
L. John Schreiner
Hagit Shatkay
Emad Shihab
Abd-Elhamid Taha
Kathrin Tyryshkin
Tamas Ungi
Amal Zouaq
