Donald Acton
Bill Aiello
Meghan Allen
Uri Ascher
Elisa Baniassad
Patrice Belleville
Celina Berg
Ivan Beschastnikh
Giuseppe Carenini
Paul Carter
Ian Cavers
Cristina Conati
Anne Condon
William Evans
Mike Feeley
Michael Friedlander
Joel Friedman
Thomas Fritz
Hu Fu
Ronald Garcia
Mark Greenstreet
Chen Greif
Arvind Gupta
Nick Harvey
Cinda Heeren
Wolfgang Heidrich
Reid Holmes
Holger H. Hoos
Alan Hu
Norm Hutchinson
Gregor Kiczales
Ed Knorr
Laks V.S. Lakshmanan
Kevin Leyton-Brown
Jim Little
Alan Mackworth
Karon MacLean
Joanna McGrenere
Ian Mitchell
Tamara Munzner
Gail Murphy
Raymond Ng
Dinesh Pai
David Poole
Rachel Pottinger
Siamak Ravanbakhsh
Ronald Rensink
Mark Schmidt
Alla Sheffer
Leonid Sigal
George Tsiknis
Michiel van de Panne
Alan Wagner
Andrew Warfield
Steve Wolfman
Dongwook Yoon
Inanc Birol
Alexandre Bouchard-Coté
Alexandra Fedorova
Philipp Lange
Ali Mesbah
Sara Mostafavi
Karthik Pattabiraman
Julia Rubin
Sohrab Shah
Robert Bridson
Nando de Freitas
Charlotte Froese Fischer
Mohammad Mahdi Karimi
Irmtraud M. Meyer
Kevin Murphy
Gabriel Murray
Anthony Estey
Michael Gelbart
Jonatan Schroeder
Geoffrey Tien
Ryan Vogt
Paul Bucci
Jerry Jim
Juliette Link
Ali Madooei
Jessica Wong
Kellogg Booth
David Kirkpatrick
David Lowe
Richard Rosenberg
Jim Varah
Son Vuong
Bob Woodham
