Wei BAO
Athman BOUGUETTAYA
Weidong CAI
Lijun CHANG
Vera CHUNG
James CURRAN
Joseph DAVIS
Peter EADES
Alan FEKETE
David FENG
Michael FULHAM
Vincent GRAMOLI
Joachim GUDMUNDSSON
Ralph HOLZ
Seokhee HONG
Bryn JEFFRIES
Judy KAY
Jinman KIM
Irena KOPRINSKA
Kevin KUAN
Bob KUMMERFELD
Na LIU
Tongliang LIU
Julian MESTRE
Quan NGUYEN
Josiah POON
Simon POON
Fabio RAMOS
Uwe ROEHM
Bernhard SCHOLZ
Yang SONG
Masahiro TAKATSUKA
Dacheng TAO
Kanchana THILAKARATHNA
Xiu WANG
Zhiyong WANG
Chang XU
Kalina YACEF
Bing ZHOU
Ying ZHOU
Albert ZOMAYA
